PLAYER MOVE: DOWN,,25.5682
,,
PLAYER MOVE: DOWN,,421.123
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN,,13.3565
,,
PLAYER MOVE: LEFT, [MSG: THAT'S A WALL!] ,20.4545
,,
PLAYER MOVE: DOWN, [MSG: FROG GOT YOU] ,22.9458
,,
GAME END: LOSE, [MSG: REST IN PEAS] ,
,,
PLAYER MOVE: DOWN,,166.49
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN, [MSG: OOPS! ENCOUNTERED A FROG!] ,24.3506
,,
GAME END: LOSE, [MSG: REST IN PEAS] ,
,,
PLAYER MOVE: DOWN,,166.49
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN, [CONTACT: PELLET] ,26.1281
,,
PLAYER MOVE: DOWN, [MSG: OOPS! ENCOUNTERED A FROG!] ,25.0318
,,
GAME END: LOSE, [MSG: REST IN PEAS] ,
,,
PLAYER MOVE: DOWN,,170.455
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN,,511.364
,,
PLAYER MOVE: DOWN, [MSG: FROG GOT YOU] ,24.4338
,,
GAME END: LOSE, [MSG: REST IN PEAS] ,
,,
PLAYER MOVE: DOWN, [MSG: EAGLE GOT A FROG] ,21.6287
,,
PLAYER MOVE: DOWN,,511.364
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: LEFT, [MSG: THAT'S A WALL!] ,26.0331
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: INVALID KEY, [MSG: INVALID KEY]  [MSG: TRY A DIFFERENT DIRECTION] ,357.955
,,
PLAYER MOVE: RIGHT, [CONTACT: LETTUCE] ,25.9387
,,
PLAYER MOVE: DOWN,,550.699
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: DOWN, [CONTACT: PELLET] ,23.7844
,,
PLAYER MOVE: DOWN,,477.273
,,
PLAYER MOVE: RIGHT,,511.364
,,
PLAYER MOVE: RIGHT,,511.364
,,
PLAYER MOVE: RIGHT,,511.364
,,
PLAYER MOVE: RIGHT,,477.273
,,
PLAYER MOVE: RIGHT,,447.443
,,
PLAYER MOVE: RIGHT,,477.273
,,
PLAYER MOVE: RIGHT,,511.364
,,
PLAYER MOVE: RIGHT, [CONTACT: PELLET] ,26.1281
,,
PLAYER MOVE: RIGHT,,477.273
,,
PLAYER MOVE: RIGHT,,511.364
,,
PLAYER MOVE: RIGHT,,477.273
,,
PLAYER MOVE: RIGHT,,477.273
,,
PLAYER MOVE: RIGHT, [CONTACT: LETTUCE] ,25.6598
,,
PLAYER MOVE: UP,,447.443
,,
PLAYER MOVE: UP,,447.443
,,
PLAYER MOVE: UP, [CONTACT: LETTUCE]  [MSG: EAGLE GOT A FROG] ,14.3469
,,
PLAYER MOVE: UP,,511.364
,,
PLAYER MOVE: UP,,477.273
,,
PLAYER MOVE: UP,,511.364
,,
PLAYER MOVE: UP,,447.443
,,
PLAYER MOVE: LEFT,,511.364
,,
PLAYER MOVE: LEFT,,477.273
,,
PLAYER MOVE: LEFT,,550.699
,,
PLAYER MOVE: LEFT,,511.364
,,
PLAYER MOVE: LEFT, [MSG: LAST LETTUCE EATEN] ,23.0938
,,
GAME END: WIN, [MSG: SURVIVED] ,
,,
PLAYER MOVE: DOWN,,174.612
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN, [MSG: OOPS! ENCOUNTERED A FROG!] ,22.1644
,,
GAME END: LOSE, [MSG: REST IN PEAS] ,
,,
PLAYER MOVE: DOWN,,170.455
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,447.443
,,
PLAYER MOVE: DOWN,,477.273
